source_code,name,type,area
80101268,"COL. NUEVA ERA ( ETAPA I , II , III )",colony,
80101128,COL. CENTROAMERICA ( ETAPA I ),colony,
80101450,COL. FECESITLICH ( SECTOR III ),colony,
80101193,COL. KENNEDY,colony,
80101231,COL.LOMAS DE TILOARQUE ( II ),colony,
80101451,COL. RES LOS ZORZALES,colony,
80101472,COL. RES LOS CALPULES,colony,
80101481,COL. RES VILLA SUYAPA,colony,
80103046,AGUA BLANCA,other,
80137005,AGUA DULCE,other,
80101603,AGUA DULCE N.1,other,
80101716,ALDEA EL DURAZNO,village,
80101610,ALDEA EL NARANJAL,village,
80150001,ALDEA EL TABLON,village,
8015101,ALDEA GUADALUPE,village,
80101382,ALDEA LA JOYA,village,
80118001,ALDEA LA CALERA,village,
80101524,ALDEA LA CANADA,village,
80101623,ALDEA LA CUESTA,village,
8011901,ALDEA LA CUESTA N.2,village,
80101371,ALDEA LA SOLEDAD,village,
80101372,ALDEA LA TRAVESIA,village,
80101617,ALDEA LAS CASITAS,village,
80101635,ALDEA NUEVA FLORES,village,
80101639,ALDEA RIO ABAJO,village,
80101373,ALDEA SUYAPA,village,
80101640,ALDEA TIERRA BLANCA,village,
80101666,ALDEA VILLAREAL,village,
80153001,ALDEA YAGUACIRE,village,
80104006,ALDEA DE SAN ANTONIO,village,
80139004,ALTOS DE SANTA ROSA,other,
10000064,AMARATECA,other,
80102001,AMARATECA O LA JAGUA,other,
80104002,ASERRADERO EL PINO,other,
80101374,AVE. LA PAZ,other,
80101649,B. ALTOS DE LA HOLLA,neighborhood,
80101667,B. CASAMATA,neighborhood,
80101653,B. EL RINCON,neighborhood,
80101671,B. LA CABAÑA,neighborhood,
80101647,B. LA LEONA,neighborhood,
80101708,B. LA PLANZUELA,neighborhood,
80101659,B. LAS CRUCITAS,neighborhood,
80101662,B. LA PAGODA,neighborhood,
80102002,BALNEARIO SAN FRANCISCO,other,
80108002,BARRANCO BLANCO,other,
80101624,BARRIO GUADALUPE,neighborhood,
80101718,BARRIO LA RONDA,neighborhood,
80141020,BELLA VISTA,other,
80101017,BO. EL CHILE,neighborhood,
80101001,BO. ABAJO,neighborhood,
80101383,BO. ALTOS DEL BOSQUE O 13 DE F,neighborhood,
80101002,BO. BELEN,neighborhood,
80101003,BO. VELLA VISTA,neighborhood,
80101004,BO. BOLIVAR,neighborhood,
80101005,BO. BRISAS DEL PICACHO,neighborhood,
80101006,BO. BUENA VISTA,neighborhood,
80101007,BO. BUENOS AIRES,neighborhood,
80101008,BO. BARRIO CAMAGUARA,neighborhood,
80101010,BO. CENTRO DE COMAYAGUELA,neighborhood,
80101011,BO. CENTRO DE,neighborhood,
80101012,BO. CONCEPCION,neighborhood,
80101013,BO. EL BOSQUE,neighborhood,
80101014,BO. EL CALVARIO,neighborhood,
80101015,BO. EL CARRIZAL,neighborhood,
80101016,BO. EL COCO,neighborhood,
80101018,BO. EL EDEN,neighborhood,
80101021,BO. EL JAZMIN,neighborhood,
80101022,BO. EL MANCHEN,neighborhood,
80101023,BO. EL OBELISCO,neighborhood,
80101024,BO. EL OLVIDO,neighborhood,
80101025,BO. EL PASTEL,neighborhood,
80101026,BO. EL PEDREGALITO,neighborhood,
80101384,BO. EL SOCORRO,neighborhood,
80101020,BO. GUANACASTE,neighborhood,
80101094,BO. LA ZARAGOSA,neighborhood,
80101385,BO. LOS HIGUEROS,neighborhood,
80101072,BO. MIRAMESI,neighborhood,
80101073,BO. MORAZAN,neighborhood,
80101074,BO. PERPETUO SOCORRO,neighborhood,
80101075,BO. PLANES DE LA LOMA,neighborhood,
80101076,BO. PURBLO NUEVO,neighborhood,
80101077,BO. PUNTA CALIENTE,neighborhood,
80101078,BO. SALIDA A VALLE DE ANGELES,neighborhood,
80101079,BO. SALIDA AL SUR,neighborhood,
80101080,BO. SAN CRISTOBAL,neighborhood,
80101081,BO. SAN FELIPE,neighborhood,
80101386,BO. SAN ISIDRO,neighborhood,
80101082,BO. SAN JORGE,neighborhood,
80101083,BO. SAN JUAN DE DIOS,neighborhood,
80101085,BO. SAN PABLO,neighborhood,
80101086,BO. SAN RAFAEL,neighborhood,
80101088,BO.SAUCIQUE,neighborhood,
80101089,BO. SIPILE,neighborhood,
80101090,BO. TILOARQUE ( SECTOR I ),neighborhood,
80101093,BO. VIERA,neighborhood,
80101092,BO. VILLA ADELA,neighborhood,
80101502,BO. VILLA EL CIRUELO,neighborhood,
80101537,BO. ALTOS DEL EDEN,neighborhood,
80101302,CALAIRE O PACONAL,other,
80102022,CALPULES,other,
80108003,CARBONCITOS,other,
